Id,Email,What is your age?,What is your gender ?,What types of food do you normally eat?,How many calories do you approximately consume daily?,What is your Primary Goal ?,Do you have any Food Allergies ?,How active are you ?
1,anonymous,18-24,Man,Moderately healthy ,1200-1800,Loose weight,Nut Free,Very Active
2,anonymous,18-24,Man,Healthy ,Less than 1200,Gain weight ,Lactose Free,Lightly Active 
3,anonymous,18-24,Woman,Healthy ,1800-2500,Build Muscle ,None,Very Active
4,anonymous,18-24,Man,Healthy ,1200-1800,Build Muscle ,None,Very Active
5,anonymous,25-34,Woman,Moderately healthy ,1200-1800,Loose weight,Lactose Free,Lightly Active 
6,anonymous,25-34,Man,Healthy ,1800-2500,Loose weight,None,Moderately Active
7,anonymous,Over 45,Woman,Healthy ,1200-1800,Loose weight,None,Moderately Active
8,anonymous,18-24,Woman,Moderately healthy ,1200-1800,Loose weight,None,Moderately Active
9,anonymous,18-24,Woman,Moderately healthy ,1800-2500,Eat Healthier ,Lactose Free,Moderately Active
10,anonymous,18-24,Man,Healthy ,1800-2500,Build Muscle ,None,Very Active
11,anonymous,25-34,Man,Healthy ,Less than 1200,Loose weight,None,Sedentary 
12,anonymous,18-24,Man,Healthy ,Less than 1200,Loose weight,None,Sedentary 
13,anonymous,18-24,Man,Healthy ,1800-2500,Build Muscle ,None,Very Active
14,anonymous,25-34,Man,Moderately healthy ,1800-2500,Eat Healthier ,None,Moderately Active
15,anonymous,18-24,Man,Moderately healthy ,1800-2500,Build Muscle ,None,Very Active
16,anonymous,25-34,Man,Moderately healthy ,1800-2500,Build Muscle ,None,Moderately Active
17,anonymous,18-24,Prefer not to say,Moderately healthy ,1200-1800,Build Muscle ,None,Sedentary 
18,anonymous,25-34,Man,Healthy ,Less than 1200,Loose weight,Gluten-free,Sedentary 
19,anonymous,18-24,Woman,Moderately healthy ,1200-1800,Gain weight ,Lactose Free,Lightly Active 
20,anonymous,35-44,Non-binary,Special Diet,1800-2500,Build Muscle ,Soy Free,Moderately Active
21,anonymous,Over 45,Prefer not to say,Fast Food ,More  than 2500,Eat Healthier ,None,Very Active
22,anonymous,18-24,Woman,Healthy ,Less than 1200,Loose weight,Gluten-free,Very Active
23,anonymous,25-34,Woman,Moderately healthy ,1200-1800,Eat Healthier ,None,Very Active
24,anonymous,18-24,Woman,Moderately healthy ,1200-1800,Build Muscle ,Lactose Free,Moderately Active
25,anonymous,18-24,Man,Moderately healthy ,Less than 1200,Gain weight ,Lactose Free,Moderately Active
26,anonymous,25-34,Woman,Healthy ,Less than 1200,Build Muscle ,None,Moderately Active
27,anonymous,35-44,Man,Fast Food ,1800-2500,Eat Healthier ,Nut Free,Moderately Active
28,anonymous,35-44,Woman,Moderately healthy ,1800-2500,Gain weight ,Lactose Free,Moderately Active
29,anonymous,18-24,Man,Healthy ,1200-1800,Gain weight ,None,Lightly Active 
30,anonymous,18-24,Man,Moderately healthy ,1200-1800,Build Muscle ,Gluten-free,Sedentary 
31,anonymous,25-34,Man,Fast Food ,Less than 1200,Gain weight ,None,Lightly Active 
32,anonymous,18-24,Woman,Healthy ,1800-2500,Build Muscle ,None,Lightly Active 
33,anonymous,25-34,Man,Moderately healthy ,Less than 1200,Build Muscle ,Soy Free,Lightly Active 
34,anonymous,18-24,Man,Special Diet,Less than 1200,Build Muscle ,Nut Free,Lightly Active 
35,anonymous,25-34,Man,Healthy ,1800-2500,Build Muscle ,Lactose Free,Very Active
36,anonymous,18-24,Woman,Healthy ,1800-2500,Eat Healthier ,Nut Free,Moderately Active
37,anonymous,35-44,Man,Fast Food ,1800-2500,Build Muscle ,None,Sedentary 
38,anonymous,25-34,Woman,Fast Food ,Less than 1200,Loose weight,Gluten-free,Sedentary 
39,anonymous,25-34,Woman,Moderately healthy ,Less than 1200,Gain weight ,Lactose Free,Sedentary 
40,anonymous,18-24,Man,Moderately healthy ,Less than 1200,Eat Healthier ,Nut Free,Very Active
41,anonymous,18-24,Man,Moderately healthy ,1200-1800,Build Muscle ,None,Moderately Active
42,anonymous,18-24,Man,Moderately healthy ,1800-2500,Eat Healthier ,None,Very Active
43,anonymous,25-34,Woman,Moderately healthy ,Less than 1200,Loose weight,Gluten-free,Lightly Active 
44,anonymous,25-34,Woman,Moderately healthy ,Less than 1200,Gain weight ,Lactose Free,Lightly Active 
45,anonymous,35-44,Man,Healthy ,1800-2500,Gain weight ,Lactose Free,Lightly Active 
46,anonymous,35-44,Woman,Moderately healthy ,Less than 1200,Loose weight,Soy Free,Moderately Active
47,anonymous,18-24,Woman,Moderately healthy ,1200-1800,Eat Healthier ,None,Lightly Active 
48,anonymous,25-34,Man,Healthy ,Less than 1200,Gain weight ,Gluten-free,Lightly Active 
49,anonymous,25-34,Woman,Moderately healthy ,1800-2500,Build Muscle ,None,Moderately Active
50,anonymous,25-34,Woman,Healthy ,1800-2500,Eat Healthier ,Lactose Free,Moderately Active
51,anonymous,25-34,Man,Moderately healthy ,1200-1800,Build Muscle ,None,Very Active
52,anonymous,18-24,Man,Healthy ,1800-2500,Build Muscle ,None,Very Active
53,anonymous,18-24,Man,Healthy ,More  than 2500,Build Muscle ,None,Moderately Active
54,anonymous,18-24,Man,Moderately healthy ,1200-1800,Build Muscle ,None,Moderately Active
55,anonymous,18-24,Woman,Healthy ,1200-1800,Loose weight,None,Lightly Active 
56,anonymous,25-34,Man,Healthy ,1800-2500,Gain weight ,Gluten-free,Lightly Active 
57,anonymous,25-34,Man,Fast Food ,More  than 2500,Gain weight ,Lactose Free,Very Active
58,anonymous,18-24,Woman,Healthy ,1200-1800,Loose weight,Nut Free,Lightly Active 
59,anonymous,Over 45,Woman,Healthy ,1200-1800,Loose weight,Nut Free,Moderately Active
60,anonymous,35-44,Woman,Moderately healthy ,1800-2500,Eat Healthier ,None,Sedentary 
61,anonymous,35-44,Woman,Special Diet,1800-2500,Build Muscle ,Soy Free,Sedentary 
62,anonymous,18-24,Man,Fast Food ,Less than 1200,Eat Healthier ,None,Sedentary 
63,anonymous,35-44,Man,Special Diet,Less than 1200,Build Muscle ,Nut Free,Sedentary 
64,anonymous,Over 45,Man,Fast Food ,More  than 2500,Eat Healthier ,None,Sedentary 
65,anonymous,18-24,Woman,Healthy ,Less than 1200,Build Muscle ,None,Moderately Active
66,anonymous,35-44,Woman,Special Diet,Less than 1200,Gain weight ,Gluten-free,Lightly Active 
67,anonymous,18-24,Man,Fast Food ,More  than 2500,Gain weight ,Soy Free,Sedentary 
68,anonymous,18-24,Man,Healthy ,1800-2500,Eat Healthier ,Soy Free,Sedentary 
